Phylum,x,y
Firmicutes,-9.94841,-48.452
Proteobacteria,-8.10243,-0.175774
Firmicutes,-14.0599,29.3915
Verrucomicrobia,-75.28,12.4756
Bacteroidetes,33.1773,-80.8609
Bacteroidetes,48.8237,35.0479
Firmicutes,71.103,37.647
Firmicutes,29.617,5.51584
Firmicutes,12.7898,-20.3784
Bacteroidetes,55.6708,42.6668
Firmicutes,-24.7186,8.94254
Actinobacteria,-11.0307,-65.423
Spirochaetes,11.9278,-86.6025
Firmicutes,-78.2034,-16.0773
Firmicutes,17.0917,-7.52096
Firmicutes,8.47471,-27.8531
Actinobacteria,51.1779,17.6647
Firmicutes,36.2933,-42.2312
Firmicutes,42.0722,25.7912
Bacteroidetes,47.5757,-25.1551
Firmicutes,-51.0463,-15.13
Bacteroidetes,-70.8209,-7.81647
Firmicutes,30.0723,-26.6426
Firmicutes,21.0355,10.9801
Firmicutes,-52.0056,-35.1067
Firmicutes,-59.0437,21.2824
Firmicutes,45.4065,-12.0411
Bacteroidetes,91.5964,-10.2955
Firmicutes,24.8703,60.4187
Actinobacteria,-23.1079,-7.08453
Firmicutes,-9.16836,43.7418
Firmicutes,22.7815,-58.167
Firmicutes,-18.9161,27.8685
Bacteroidetes,0.211359,-3.69651
Firmicutes,-29.2034,49.6339
Firmicutes,-63.8148,32.1428
Proteobacteria,68.7848,10.3252
Actinobacteria,81.2082,-14.5164
Firmicutes,-42.2488,-29.6262
Bacteroidetes,-76.1953,23.4006
Bacteroidetes,47.2636,12.0774
Proteobacteria,-8.05168,-0.0791262
Proteobacteria,-1.10701,-81.5216
Firmicutes,7.44519,25.0008
Firmicutes,28.1647,-74.4749
Firmicutes,60.486,-17.6546
Firmicutes,-43.8814,-0.913407
Firmicutes,-45.1911,19.4691
Actinobacteria,51.1461,17.8323
Firmicutes,34.549,-37.924
Spirochaetes,11.9074,-86.7127
Actinobacteria,-11.6514,-62.8146
Firmicutes,-64.6938,-12.4177
Bacteroidetes,46.7379,-26.7237
Proteobacteria,-31.7325,-42.1156
Bacteroidetes,-74.039,19.6704
Firmicutes,-16.3947,-49.4162
Actinobacteria,51.4038,17.7402
Proteobacteria,-8.15934,-0.300552
Firmicutes,33.0263,-68.7521
Firmicutes,-43.8739,-0.887986
Firmicutes,30.0922,6.74252
Firmicutes,-64.5292,15.8777
Firmicutes,-9.26587,43.795
Actinobacteria,-10.769,-65.1997
Firmicutes,52.6806,-39.4841
Bacteroidetes,8.7804,-1.2098
Bacteroidetes,-40.033,-7.64991
Proteobacteria,-7.49939,-1.2219
Actinobacteria,-23.9863,-6.41472
Spirochaetes,11.9012,-86.5951
Firmicutes,-43.901,40.3414
Bacteroidetes,91.6628,-10.4924
Firmicutes,-20.4544,62.9799
Firmicutes,-29.2285,23.794
Firmicutes,36.8761,-42.9657
Firmicutes,41.6272,-2.81582
Firmicutes,-21.3819,-41.2527
Firmicutes,40.6346,-39.6679
Bacteroidetes,-0.073279,21.6642
Firmicutes,64.3548,-28.6309
Candidatus Melainabacteria,-6.03004,-59.3836
Firmicutes,-55.7129,10.9999
Firmicutes,-49.9227,-63.1804
Actinobacteria,74.4936,-16.6709
Firmicutes,-44.4452,72.3158
Firmicutes,-40.4776,-53.9677
Firmicutes,31.1365,-10.3676
Firmicutes,-24.9735,52.6533
Firmicutes,71.1204,37.6216
Proteobacteria,68.8848,10.2484
Firmicutes,-12.1999,-2.42231
Firmicutes,-64.2446,32.3493
Verrucomicrobia,-76.971,5.00915
Firmicutes,33.1869,-68.8425
Firmicutes,22.9105,15.8391
Proteobacteria,0.148503,-75.8222
Firmicutes,11.7165,76.6855
Firmicutes,23.2472,-36.9899
Firmicutes,57.0834,-6.94414
Actinobacteria,-10.5965,-87.5981
Firmicutes,44.4719,-66.6876
Firmicutes,47.7617,-66.0552
Bacteroidetes,63.7324,41.152
Firmicutes,34.3565,-3.76584
Proteobacteria,5.08526,-26.6486
Firmicutes,-9.30274,66.2473
Bacteroidetes,-31.9597,-19.4234
Bacteroidetes,63.7288,41.1407
Actinobacteria,-10.5991,-87.5588
Firmicutes,-64.8349,-12.6109
Firmicutes,14.96,-67.6157
Bacteroidetes,-77.0887,20.2945
Firmicutes,17.2443,-71.5238
Firmicutes,-22.4378,-24.5463
Firmicutes,71.9124,-41.6799
Firmicutes,30.2445,5.75761
Firmicutes,-15.6456,56.0581
Firmicutes,-7.79819,-47.7732
Firmicutes,-9.27641,66.2676
Bacteroidetes,2.89084,1.42967
Firmicutes,-64.581,32.6525
Bacteroidetes,-31.5318,-19.9169
Bacteroidetes,18.3639,37.797
Firmicutes,40.5516,7.25202
Firmicutes,24.8676,60.6353
Firmicutes,52.667,-6.32129
Bacteroidetes,-9.89711,88.6997
Firmicutes,-63.9481,-12.9843
Firmicutes,22.9204,15.8567
Bacteroidetes,-66.1176,-53.6597
Firmicutes,31.7509,22.2364
Firmicutes,51.0508,-34.6765
Firmicutes,33.497,-57.2005
Firmicutes,37.0577,28.0951
Firmicutes,26.8707,-10.2339
Verrucomicrobia,-75.3381,12.0492
Firmicutes,32.0737,-69.4448
Proteobacteria,5.10861,-26.8115
Firmicutes,48.6914,0.565834
Firmicutes,-19.1501,12.4365
Firmicutes,41.374,-3.05452
Firmicutes,-63.987,-13.0029
Firmicutes,-19.1968,12.4189
Bacteroidetes,-9.90196,88.6962
Proteobacteria,3.13389,-22.4036
Bacteroidetes,-66.1175,-53.6596
Actinobacteria,54.1408,20.5087
Firmicutes,26.9084,-10.3341
Proteobacteria,3.09514,-22.4253
Firmicutes,-24.7571,-27.0752
Firmicutes,-1.54799,-90.7589
Firmicutes,-65.5794,31.5136
Firmicutes,-34.4179,-74.0858
Firmicutes,42.885,-12.1942
Firmicutes,-51.1749,-15.2637
Bacteroidetes,47.3153,-25.0873
Firmicutes,19.253,15.6782
Firmicutes,-16.0716,-8.68877
Firmicutes,24.0632,-37.6789
Proteobacteria,3.13921,-22.384
Bacteroidetes,-69.7886,-4.99633
Bacteroidetes,-9.80688,88.7555
Firmicutes,11.0197,40.7498
Firmicutes,53.0752,-13.7609
Firmicutes,-64.0219,-0.562555
Firmicutes,-19.575,11.127
Firmicutes,34.7229,-40.4837
Firmicutes,42.0589,25.9208
Firmicutes,-25.1356,52.7787
Firmicutes,-47.3936,50.681
Actinobacteria,51.642,17.8172
Actinobacteria,91.3564,5.09593
Proteobacteria,-39.3029,-45.7124
Firmicutes,9.91677,20.0692
Firmicutes,-40.531,0.171325
Bacteroidetes,63.7341,41.1558
Proteobacteria,24.7133,47.0776
Actinobacteria,-10.7081,-84.1901
Firmicutes,53.0482,-13.8069
Bacteroidetes,2.33654,-0.451673
Bacteroidetes,48.8019,35.0567
Proteobacteria,-34.8098,-42.9865
Bacteroidetes,-31.8804,-19.3289
Firmicutes,40.015,28.0337
Firmicutes,-29.3513,49.6156
Firmicutes,-21.0712,-59.5698
Firmicutes,20.9133,-34.5261
Bacteroidetes,18.686,37.993
Bacteroidetes,47.9009,-24.7272
Firmicutes,41.6064,-2.83644
Bacteroidetes,-22.5125,-86.9838
Firmicutes,-10.6776,-49.5544
Firmicutes,52.6156,-6.49187
Actinobacteria,-87.0622,31.2391
Proteobacteria,-7.99987,0.107276
Firmicutes,13.9702,-69.0754
Firmicutes,23.7836,-77.8668
Firmicutes,25.2217,21.1901
Firmicutes,-27.1764,3.29933
Bacteroidetes,-72.5742,-10.0307
Firmicutes,34.5967,-33.5654
Bacteroidetes,63.7315,41.1496
Bacteroidetes,-10.0642,88.3592
Firmicutes,6.49141,23.3237
Actinobacteria,-8.31506,-79.7343
Bacteroidetes,55.66,42.6042
Actinobacteria,45.5772,-37.6576
Firmicutes,57.2669,-12.3609
Proteobacteria,-8.03812,-0.0524527
Firmicutes,24.8938,-78.4957
Firmicutes,39.541,35.0319
Proteobacteria,-1.09047,-81.5006
Firmicutes,4.66256,22.1701
Firmicutes,34.9795,-2.05335
Bacteroidetes,-28.3936,-10.0026
Firmicutes,-0.894096,-14.6766
Firmicutes,64.5672,-27.832
Firmicutes,-51.2626,-15.3075
Firmicutes,-10.6654,-10.3186
Firmicutes,-78.2951,-16.0094
Firmicutes,27.073,-68.2822
Firmicutes,-29.7547,23.2446
Firmicutes,-19.1026,27.7416
Firmicutes,-71.0519,-17.9832
Firmicutes,14.322,-35.7693
Bacteroidetes,8.7858,-1.2664
Firmicutes,30.1916,7.67293
Firmicutes,15.8382,-18.5745
Firmicutes,25.702,75.1137
Firmicutes,-63.4454,33.5675
Proteobacteria,13.9441,69.1417
Firmicutes,11.3271,18.7525
Bacteroidetes,-26.7408,-31.3541
Bacteroidetes,-68.8641,-7.21349
Firmicutes,13.2744,-66.9347
Firmicutes,-3.74238,51.6974
Firmicutes,41.1975,-3.79401
Firmicutes,-20.96,-59.672
Firmicutes,-10.3737,-41.3742
Firmicutes,71.1575,37.4103
Firmicutes,-15.575,56.1576
Bacteroidetes,-45.7946,12.1763
Firmicutes,-2.14686,-70.3631
Firmicutes,35.1945,-42.5181
Firmicutes,6.82102,-18.9854
